Date,close,source
1989-02-28,388.0,datahub_monthly
1989-03-31,390.0,datahub_monthly
1989-04-30,384.0,datahub_monthly
1989-05-31,371.0,datahub_monthly
1989-06-30,368.0,datahub_monthly
1989-07-31,375.0,datahub_monthly
1989-08-31,365.0,datahub_monthly
1989-09-30,362.0,datahub_monthly
1989-10-31,367.0,datahub_monthly
1989-11-30,394.0,datahub_monthly
1989-12-31,409.39,datahub_monthly
1990-01-31,410.0,datahub_monthly
1990-02-28,417.0,datahub_monthly
1990-03-31,393.0,datahub_monthly
1990-04-30,374.0,datahub_monthly
1990-05-31,369.0,datahub_monthly
1990-06-30,352.0,datahub_monthly
1990-07-31,363.0,datahub_monthly
1990-08-31,395.0,datahub_monthly
1990-09-30,389.0,datahub_monthly
1990-10-31,381.0,datahub_monthly
1990-11-30,382.0,datahub_monthly
1990-12-31,377.0,datahub_monthly
1991-01-31,384.0,datahub_monthly
1991-02-28,364.0,datahub_monthly
1991-03-31,363.0,datahub_monthly
1991-04-30,358.0,datahub_monthly
1991-05-31,357.0,datahub_monthly
1991-06-30,366.72,datahub_monthly
1991-07-31,368.0,datahub_monthly
1991-08-31,356.0,datahub_monthly
1991-09-30,349.0,datahub_monthly
1991-10-31,359.0,datahub_monthly
1991-11-30,360.0,datahub_monthly
1991-12-31,362.0,datahub_monthly
1992-01-31,354.0,datahub_monthly
1992-02-29,354.0,datahub_monthly
1992-03-31,344.0,datahub_monthly
1992-04-30,339.0,datahub_monthly
1992-05-31,337.0,datahub_monthly
1992-06-30,341.0,datahub_monthly
1992-07-31,353.0,datahub_monthly
1992-08-31,343.0,datahub_monthly
1992-09-30,345.0,datahub_monthly
1992-10-31,344.0,datahub_monthly
1992-11-30,335.02,datahub_monthly
1992-12-31,335.0,datahub_monthly
1993-01-31,329.0,datahub_monthly
1993-02-28,329.0,datahub_monthly
1993-03-31,330.0,datahub_monthly
1993-04-30,342.0,datahub_monthly
1993-05-31,367.0,datahub_monthly
1993-06-30,372.0,datahub_monthly
1993-07-31,392.0,datahub_monthly
1993-08-31,379.0,datahub_monthly
1993-09-30,355.0,datahub_monthly
1993-10-31,364.0,datahub_monthly
1993-11-30,374.0,datahub_monthly
1993-12-31,383.0,datahub_monthly
1994-01-31,387.0,datahub_monthly
1994-02-28,382.0,datahub_monthly
1994-03-31,384.0,datahub_monthly
1994-04-30,377.0,datahub_monthly
1994-05-31,381.0,datahub_monthly
1994-06-30,386.0,datahub_monthly
1994-07-31,385.0,datahub_monthly
1994-08-31,380.0,datahub_monthly
1994-09-30,392.0,datahub_monthly
1994-10-31,390.0,datahub_monthly
1994-11-30,384.0,datahub_monthly
1994-12-31,379.0,datahub_monthly
1995-01-31,379.0,datahub_monthly
1995-02-28,377.0,datahub_monthly
1995-03-31,382.0,datahub_monthly
1995-04-30,391.0,datahub_monthly
